goos: darwin
goarch: arm64
pkg: go.aledante.io/FlowSeer/src/common/smi/bench
cpu: Apple M4 Pro
BenchmarkLex/fixture=lancom-oids-12         	     116	  10144263 ns/op	 644.16 MB/s	17188946 B/op	      32 allocs/op
BenchmarkLex/fixture=lancom-oids-12         	     100	  10102659 ns/op	 646.82 MB/s	17188854 B/op	      32 allocs/op
BenchmarkLex/fixture=lancom-oids-12         	     100	  10137046 ns/op	 644.62 MB/s	17188907 B/op	      32 allocs/op
BenchmarkLex/fixture=lancom-oids-12         	     100	  10193520 ns/op	 641.05 MB/s	17188853 B/op	      32 allocs/op
BenchmarkLex/fixture=lancom-oids-12         	     100	  10311404 ns/op	 633.72 MB/s	17188858 B/op	      32 allocs/op
BenchmarkLex/fixture=lancom-oids-12         	     120	   9929063 ns/op	 658.12 MB/s	17188855 B/op	      32 allocs/op
BenchmarkLex/fixture=lancom-oids-12         	     100	  10067977 ns/op	 649.04 MB/s	17188856 B/op	      32 allocs/op
BenchmarkLex/fixture=lancom-oids-12         	     100	  10148310 ns/op	 643.91 MB/s	17188856 B/op	      32 allocs/op
BenchmarkLex/fixture=lancom-oids-12         	     100	  10265386 ns/op	 636.56 MB/s	17188854 B/op	      32 allocs/op
BenchmarkLex/fixture=lancom-oids-12         	     100	  10167067 ns/op	 642.72 MB/s	17188856 B/op	      32 allocs/op
BenchmarkLex/fixture=huawei-tc-12           	     385	   3108725 ns/op	 803.40 MB/s	 5510010 B/op	      42 allocs/op
BenchmarkLex/fixture=huawei-tc-12           	     388	   3054742 ns/op	 817.60 MB/s	 5510011 B/op	      42 allocs/op
BenchmarkLex/fixture=huawei-tc-12           	     387	   3090124 ns/op	 808.24 MB/s	 5510010 B/op	      42 allocs/op
BenchmarkLex/fixture=huawei-tc-12           	     387	   3084224 ns/op	 809.79 MB/s	 5510010 B/op	      42 allocs/op
BenchmarkLex/fixture=huawei-tc-12           	     393	   3075821 ns/op	 812.00 MB/s	 5510009 B/op	      42 allocs/op
BenchmarkLex/fixture=huawei-tc-12           	     391	   3060331 ns/op	 816.11 MB/s	 5510010 B/op	      42 allocs/op
BenchmarkLex/fixture=huawei-tc-12           	     397	   2976932 ns/op	 838.97 MB/s	 5510011 B/op	      42 allocs/op
BenchmarkLex/fixture=huawei-tc-12           	     406	   2900316 ns/op	 861.13 MB/s	 5510023 B/op	      42 allocs/op
BenchmarkLex/fixture=huawei-tc-12           	     398	   3050565 ns/op	 818.72 MB/s	 5510009 B/op	      42 allocs/op
BenchmarkLex/fixture=huawei-tc-12           	     387	   3110208 ns/op	 803.02 MB/s	 5510010 B/op	      42 allocs/op
BenchmarkFrame/fixture=lancom-oids-12       	      81	  14428969 ns/op	 452.88 MB/s	25259068 B/op	   18815 allocs/op
BenchmarkFrame/fixture=lancom-oids-12       	      82	  14224829 ns/op	 459.38 MB/s	25259132 B/op	   18815 allocs/op
BenchmarkFrame/fixture=lancom-oids-12       	      82	  13956623 ns/op	 468.21 MB/s	25259067 B/op	   18815 allocs/op
BenchmarkFrame/fixture=lancom-oids-12       	      84	  13681825 ns/op	 477.61 MB/s	25259066 B/op	   18815 allocs/op
BenchmarkFrame/fixture=lancom-oids-12       	      87	  13685112 ns/op	 477.49 MB/s	25259067 B/op	   18815 allocs/op
BenchmarkFrame/fixture=lancom-oids-12       	      86	  14200729 ns/op	 460.16 MB/s	25259070 B/op	   18815 allocs/op
BenchmarkFrame/fixture=lancom-oids-12       	      84	  14195331 ns/op	 460.33 MB/s	25259070 B/op	   18815 allocs/op
BenchmarkFrame/fixture=lancom-oids-12       	      79	  13912629 ns/op	 469.69 MB/s	25259067 B/op	   18815 allocs/op
BenchmarkFrame/fixture=lancom-oids-12       	      86	  14035063 ns/op	 465.59 MB/s	25259070 B/op	   18815 allocs/op
BenchmarkFrame/fixture=lancom-oids-12       	      84	  13763563 ns/op	 474.77 MB/s	25259068 B/op	   18815 allocs/op
BenchmarkFrame/fixture=huawei-tc-12         	     392	   3106785 ns/op	 803.90 MB/s	 5514546 B/op	      74 allocs/op
BenchmarkFrame/fixture=huawei-tc-12         	     388	   3105160 ns/op	 804.33 MB/s	 5514545 B/op	      74 allocs/op
BenchmarkFrame/fixture=huawei-tc-12         	     391	   3065563 ns/op	 814.71 MB/s	 5514546 B/op	      74 allocs/op
BenchmarkFrame/fixture=huawei-tc-12         	     391	   3059793 ns/op	 816.25 MB/s	 5514546 B/op	      74 allocs/op
BenchmarkFrame/fixture=huawei-tc-12         	     390	   3147116 ns/op	 793.60 MB/s	 5514546 B/op	      74 allocs/op
