# RFC 2580 defines OBJECT-GROUP, NOTIFICATION-GROUP, MODULE-COMPLIANCE
# and AGENT-CAPABILITIES; RFC 2578 section 8 defines NOTIFICATION-TYPE.
# All five register a node in the OID tree and none of them carries a
# value, which is why each resolves to an OID and to no type at all.
#
# The arcs below come from the source: testConf is under
# 1.3.6.1.4.1.47005, notifications hang off its zero arc, groups off arc
# 3 and compliances off arc 4.

dialect TEST-CONF-MIB SMIv2

oid  TEST-CONF-MIB.testNotifications 1.3.6.1.4.1.47005.0
oid  TEST-CONF-MIB.sysUp 1.3.6.1.4.1.47005.1
oid  TEST-CONF-MIB.sysName 1.3.6.1.4.1.47005.2

oid         TEST-CONF-MIB.linkFailure 1.3.6.1.4.1.47005.0.1
kind        TEST-CONF-MIB.linkFailure notification
status      TEST-CONF-MIB.linkFailure current
syntax-base TEST-CONF-MIB.linkFailure (none)

oid  TEST-CONF-MIB.sysGroup 1.3.6.1.4.1.47005.3.1
kind TEST-CONF-MIB.sysGroup group

oid  TEST-CONF-MIB.alarmGroup 1.3.6.1.4.1.47005.3.2
kind TEST-CONF-MIB.alarmGroup group

# A MODULE-COMPLIANCE carries its refinements inside a MODULE clause,
# which may repeat; the clauses inside it are not the enclosing macro's
# own and must not be graded against its order.
oid        TEST-CONF-MIB.basicCompliance 1.3.6.1.4.1.47005.4.1
kind       TEST-CONF-MIB.basicCompliance compliance
unresolved TEST-CONF-MIB.basicCompliance false

oid        TEST-CONF-MIB.acmeAgent 1.3.6.1.4.1.47005.5
kind       TEST-CONF-MIB.acmeAgent capabilities
unresolved TEST-CONF-MIB.acmeAgent false
