goos: darwin
goarch: arm64
pkg: go.aledante.io/FlowSeer/src/protocol/snmp/bench
cpu: Apple M4 Pro
BenchmarkGet/impl=flowseer-12         	   47205	     24676 ns/op	    1824 B/op	      56 allocs/op
BenchmarkGet/impl=flowseer-12         	   50151	     24307 ns/op	    1824 B/op	      56 allocs/op
BenchmarkGet/impl=flowseer-12         	   48793	     24401 ns/op	    1824 B/op	      56 allocs/op
BenchmarkGet/impl=flowseer-12         	   50025	     24344 ns/op	    1824 B/op	      56 allocs/op
BenchmarkGet/impl=flowseer-12         	   49504	     24049 ns/op	    1824 B/op	      56 allocs/op
BenchmarkGet/impl=flowseer-12         	   50050	     23942 ns/op	    1824 B/op	      56 allocs/op
BenchmarkGet/impl=flowseer-12         	   49849	     24321 ns/op	    1824 B/op	      56 allocs/op
BenchmarkGet/impl=flowseer-12         	   51015	     24161 ns/op	    1824 B/op	      56 allocs/op
BenchmarkGet/impl=flowseer-12         	   49342	     24476 ns/op	    1824 B/op	      56 allocs/op
BenchmarkGet/impl=flowseer-12         	   51571	     23838 ns/op	    1824 B/op	      56 allocs/op
BenchmarkGetNext/impl=flowseer-12     	   48969	     24657 ns/op	    1659 B/op	      56 allocs/op
BenchmarkGetNext/impl=flowseer-12     	   48618	     24216 ns/op	    1659 B/op	      56 allocs/op
BenchmarkGetNext/impl=flowseer-12     	   47715	     24457 ns/op	    1659 B/op	      56 allocs/op
BenchmarkGetNext/impl=flowseer-12     	   48274	     23996 ns/op	    1659 B/op	      56 allocs/op
BenchmarkGetNext/impl=flowseer-12     	   50011	     24363 ns/op	    1659 B/op	      56 allocs/op
BenchmarkGetNext/impl=flowseer-12     	   47647	     24407 ns/op	    1659 B/op	      56 allocs/op
BenchmarkGetNext/impl=flowseer-12     	   48590	     24212 ns/op	    1659 B/op	      56 allocs/op
BenchmarkGetNext/impl=flowseer-12     	   50516	     24096 ns/op	    1659 B/op	      56 allocs/op
BenchmarkGetNext/impl=flowseer-12     	   49935	     23954 ns/op	    1659 B/op	      56 allocs/op
BenchmarkGetNext/impl=flowseer-12     	   49582	     24319 ns/op	    1659 B/op	      56 allocs/op
BenchmarkGetBulk/impl=flowseer-12     	   45520	     25910 ns/op	    5395 B/op	      97 allocs/op
BenchmarkGetBulk/impl=flowseer-12     	   45879	     25569 ns/op	    5395 B/op	      97 allocs/op
BenchmarkGetBulk/impl=flowseer-12     	   47385	     25781 ns/op	    5395 B/op	      97 allocs/op
BenchmarkGetBulk/impl=flowseer-12     	   46122	     26951 ns/op	    5394 B/op	      97 allocs/op
BenchmarkGetBulk/impl=flowseer-12     	   44290	     27095 ns/op	    5395 B/op	      97 allocs/op
BenchmarkGetBulk/impl=flowseer-12     	   45346	     26426 ns/op	    5395 B/op	      97 allocs/op
BenchmarkGetBulk/impl=flowseer-12     	   44163	     26411 ns/op	    5395 B/op	      97 allocs/op
BenchmarkGetBulk/impl=flowseer-12     	   44664	     25876 ns/op	    5395 B/op	      97 allocs/op
BenchmarkGetBulk/impl=flowseer-12     	   44306	     27387 ns/op	    5395 B/op	      97 allocs/op
BenchmarkGetBulk/impl=flowseer-12     	   44984	     26132 ns/op	    5395 B/op	      97 allocs/op
BenchmarkBulkWalk/impl=flowseer-12    	   10000	    107022 ns/op	   44610 B/op	     481 allocs/op
BenchmarkBulkWalk/impl=flowseer-12    	   10000	    107300 ns/op	   44610 B/op	     481 allocs/op
BenchmarkBulkWalk/impl=flowseer-12    	   10000	    106291 ns/op	   44610 B/op	     481 allocs/op
BenchmarkBulkWalk/impl=flowseer-12    	   10000	    106223 ns/op	   44609 B/op	     481 allocs/op
BenchmarkBulkWalk/impl=flowseer-12    	   10000	    105430 ns/op	   44610 B/op	     481 allocs/op
BenchmarkBulkWalk/impl=flowseer-12    	   10000	    107345 ns/op	   44610 B/op	     481 allocs/op
BenchmarkBulkWalk/impl=flowseer-12    	   10000	    107872 ns/op	   44610 B/op	     481 allocs/op
BenchmarkBulkWalk/impl=flowseer-12    	   10000	    108106 ns/op	   44610 B/op	     481 allocs/op
BenchmarkBulkWalk/impl=flowseer-12    	   10000	    106628 ns/op	   44610 B/op	     481 allocs/op
BenchmarkBulkWalk/impl=flowseer-12    	   10000	    105617 ns/op	   44610 B/op	     481 allocs/op
BenchmarkColdStart/impl=flowseer-12   	   16976	    105794 ns/op	   69542 B/op	     107 allocs/op
BenchmarkColdStart/impl=flowseer-12   	   14024	    120153 ns/op	   69540 B/op	     107 allocs/op
BenchmarkColdStart/impl=flowseer-12   	   14905	     83924 ns/op	   69538 B/op	     107 allocs/op
BenchmarkColdStart/impl=flowseer-12   	   13722	     88008 ns/op	   69538 B/op	     107 allocs/op
BenchmarkColdStart/impl=flowseer-12   	   10000	    111137 ns/op	   69537 B/op	     107 allocs/op
BenchmarkColdStart/impl=flowseer-12   	   12385	    100913 ns/op	   69538 B/op	     107 allocs/op
BenchmarkColdStart/impl=flowseer-12   	   14415	    112465 ns/op	   69538 B/op	     107 allocs/op
BenchmarkColdStart/impl=flowseer-12   	   15168	     88638 ns/op	   69538 B/op	     107 allocs/op
BenchmarkColdStart/impl=flowseer-12   	   14968	     88510 ns/op	   69539 B/op	     107 allocs/op
BenchmarkColdStart/impl=flowseer-12   	   10000	    108502 ns/op	   69538 B/op	     107 allocs/op
BenchmarkTableWalk/impl=flowseer-12   	    7705	    135331 ns/op	   68290 B/op	     364 allocs/op
BenchmarkTableWalk/impl=flowseer-12   	   10000	    114342 ns/op	   68288 B/op	     364 allocs/op
BenchmarkTableWalk/impl=flowseer-12   	   10000	    114717 ns/op	   68288 B/op	     364 allocs/op
BenchmarkTableWalk/impl=flowseer-12   	   10000	    115960 ns/op	   68289 B/op	     364 allocs/op
BenchmarkTableWalk/impl=flowseer-12   	   10000	    115656 ns/op	   68289 B/op	     364 allocs/op
BenchmarkTableWalk/impl=flowseer-12   	   10000	    116255 ns/op	   68289 B/op	     364 allocs/op
BenchmarkTableWalk/impl=flowseer-12   	   10000	    114306 ns/op	   68288 B/op	     364 allocs/op
BenchmarkTableWalk/impl=flowseer-12   	   10000	    114477 ns/op	   68289 B/op	     364 allocs/op
BenchmarkTableWalk/impl=flowseer-12   	   10000	    115012 ns/op	   68289 B/op	     364 allocs/op
BenchmarkTableWalk/impl=flowseer-12   	   10000	    115204 ns/op	   68289 B/op	     364 allocs/op
